Company,Region,Vertical,Funding Amount (USD),Funding Stage,Funding Date
Komodo Health,United States,Health Care,220000000,Series E,21-Mar
TytoCare,United States,Health Care,50000000,Series D,21-Mar
RefleXion Medical,United States,Health Care,40000000,Series D,21-Mar
Crossover Health,United States,Health Care,168000000,Series D,21-Mar
Pace mate,United States,Health Care,8000000,Series A,21-Mar
EGenesis,United States,Health Care,125000000,Series C,21-Mar
Lattice,United States,Human Resources,60000000,Series E,21-Mar
Republic,United States,Investing,36000000,Series A,21-Mar
MainStreet,United States,Investing,60000000,Series A,21-Mar
Stockal,United States,Investing,1000000,Seed,21-Mar
EnrichHER,United States,Investing,700000,Seed,21-Mar
AcreTrader,United States,Investing,12000000,Series A,21-Mar
URB-E,United States,Logistics,5000000,Series A,21-Mar
FourKites,United States,Logistics,100000000,Series D,21-Mar
Stord,United States,Logistics,65000000,Series C,21-Mar
SuperRare,United States,Marketplace,9000000,Series A,21-Mar
Cameo,United States,Marketplace,100000000,Series C,21-Mar
Connected2Fiber,United States,Marketplace,12000000,Series B,21-Mar
Whatnot,United States,Marketplace,20000000,Series A,21-Mar
Looped,United States,Media,7700000,Seed,21-Mar
Fuzzy,United States,Pets,18000000,Series B,21-Mar
Belong,United States,Real Estate,40000000,Series B,21-Mar
TalentQL,United States,Recruiting,120000,Pre-Seed,21-Mar
Apploi,United States,Recruiting,8000000,Series B,21-Mar
User Interviews,United States,Recruiting,10000000,Series A,21-Mar
UnitedMasters,United States,Social Network,50000000,Series B,21-Mar
Around,United States,Social Network,10000000,Series A,21-Mar
Daily.co,United States,Social Network,15000000,Series A,21-Mar
Gopuff,United States,Transportation,1150000000,Series G,21-Mar
Tripscout,United States,Travel,2300000,Seed,21-Mar
Ecovative Design,United States,Wellness,60000000,Series D,21-Mar
Tonal,United States,Wellness,250000000,Series E,21-Mar
Higharc,United States,3D,21000000,Series A,21-Apr
HawkEye 360,United States,Aerospace,55000000,Series C,21-Apr
Albedo,United States,Aerospace,10000000,Seed,21-Apr
Hazel Technologies,United States,Agriculture,70000000,Series C,21-Apr
Scale AI,United States,Artificial Intelligence,325000000,Series E,21-Apr
Snorkel AI,United States,Artificial Intelligence,35000000,Series B,21-Apr
GumGum,United States,Artificial Intelligence,75000000,Series E,21-Apr
Phenom People,United States,Artificial Intelligence,100000000,Series D,21-Apr
Aisera,United States,Artificial Intelligence,40000000,Series C,21-Apr
Virtualitics,United States,Artificial Intelligence,18000000,Series B,21-Apr
Kyligence,United States,Artificial Intelligence,70000000,Series D,21-Apr
Mem Labs,United States,Artificial Intelligence,5600000,Seed,21-Apr
SambaNova Systems,United States,Artificial Intelligence,676000000,Series D,21-Apr
Narrativa,United States,Artificial Intelligence,1300000,Series A,21-Apr
Hive,United States,Artificial Intelligence,50000000,Series D,21-Apr
Leo,United States,Augmented Reality,3000000,Seed,21-Apr
Classy,United States,B2B Software,118000000,Series D,21-Apr
ActiveCampaign,United States,B2B Software,240000000,Series C,21-Apr
Streamlit,United States,B2B Software,35000000,Series B,21-Apr
Productboard,United States,B2B Software,72000000,Series C,21-Apr
Snappy Kraken,United States,B2B Software,6000000,Series A,21-Apr
Boundless,United States,B2B Software,25000000,Series B,21-Apr
Scorpion,United States,B2B Software,100000000,Series A,21-Apr
Chili Piper,United States,B2B Software,33000000,Series B,21-Apr
TABLE.co,United States,B2B Software,3000000,Seed,21-Apr
Bushel,United States,B2B Software,47000000,Series C,21-Apr
Thrasio,United States,B2B Software,100000000,Series C,21-Apr
Alyce,United States,B2B Software,30000000,Series B,21-Apr
Holler,United States,B2B Software,36000000,Series B,21-Apr
Casted,United States,B2B Software,7000000,Series A,21-Apr
Copysmith,United States,B2B Software,10000000,Seed,21-Apr
The Defiant,United States,Blockchain,1400000,Pre-Seed,21-Apr
Lever.Network,United States,Blockchain,600000,Seed,21-Apr
Equilibrium,United States,Blockchain,2500000,Seed,21-Apr
Digital Asset,United States,Blockchain,120000000,Series D,21-Apr
Iron Fish,United States,Blockchain,5300000,Seed,21-Apr
Filebase,United States,Blockchain,2000000,Seed,21-Apr
Alto Solutions,United States,Blockchain,17000000,Series A,21-Apr
Connected Cannabis,United States,Cannabis,30000000,Series A,21-Apr
RapidAPI,United States,Cloud Computing,60000000,Series C,21-Apr
BigID,United States,Cloud Computing,30000000,Series D,21-Apr
Groq,United States,Cloud Computing,300000000,Series C,21-Apr
OneStream Software,United States,Cloud Computing,200000000,Series B,21-Apr
Logiwa,United States,Cloud Computing,8500000,Series A,21-Apr
Comet.ml,United States,Cloud Computing,13000000,Series A,21-Apr
Cape Privacy,United States,Cloud Computing,20000000,Series A,21-Apr
Noiseaware,United States,Cloud Computing,8000000,Series A,21-Apr
TetraScience,United States,Cloud Computing,80000000,Series B,21-Apr
Era Software,United States,Cloud Computing,15250000,Series A,21-Apr
Seeq,United States,Cloud Computing,50000000,Series C,21-Apr
GupShup,United States,Cloud Computing,100000000,Series F,21-Apr
Itential,United States,Cloud Computing,20000000,Series B,21-Apr
Redis Labs,United States,Community,110000000,Series G,21-Apr
Papa,United States,Community,60000000,Series C,21-Apr
NBTV,United States,Consumer,10000000,Series A,21-Apr
HYPR,United States,Cyber Security,35000000,Series C,21-Apr
Deep Instinct,United States,Cyber Security,100000000,Series D,21-Apr
OneTrust,United States,Cyber Security,210000000,Series C,21-Apr
Cyble,United States,Cyber Security,4000000,Seed,21-Apr
Intrigue Corporation,United States,Cyber Security,2000000,Seed,21-Apr
Thistle Technolgies,United States,Cyber Security,2500000,Seed,21-Apr
Signifyd,United States,E-Commerce Software,205000000,Series E,21-Apr
SmartCommerce,United States,E-Commerce Software,13000000,Series B,21-Apr
Floyd,United States,E-Commerce Store,15000000,Series B,21-Apr
soona,United States,E-Commerce Store,10200000,Series A,21-Apr
Degreed,United States,Education,153000000,Series D,21-Apr
Outlier,United States,Education,30000000,Series B,21-Apr
SchoolHouse,United States,Education,8100000,Seed,21-Apr
Plaid,United States,Finance,425000000,Series D,21-Apr
Chargebee,United States,Finance,125000000,Series G,21-Apr
Ramp,United States,Finance,115000000,Series B,21-Apr
Tribal Credit,United States,Finance,34300000,Series A,21-Apr
BrightPlan,United States,Finance,9500000,Series A,21-Apr
Slice,United States,Food and Beverage,40000000,Series D,21-Apr
Territory Foods,United States,Food and Beverage,22000000,Series B,21-Apr
Good Catch,United States,Food and Beverage,26350000,Series B,21-Apr
Bartesian,United States,Food and Beverage,20000000,Series A,21-Apr
Atlast Food,United States,Food and Beverage,40000000,Series A,21-Apr
Overtime,United States,Gaming,80000000,Series C,21-Apr
Bitmovin,United States,Gaming,25000000,Series C,21-Apr
Inscripta,United States,Gaming,150000000,Series E,21-Apr
Generation Esports,United States,Gaming,10800000,Series A,21-Apr
Virta Health,United States,Health Care,133000000,Series E,21-Apr
Seed Health,United States,Health Care,40000000,Series A,21-Apr
Benchling,United States,Health Care,200000000,Series E,21-Apr
Medable,United States,Health Care,78000000,Series C,21-Apr
Current Health,United States,Health Care,43000000,Series B,21-Apr
Cresilon,United States,Health Care,14000000,Series A,21-Apr
Peachy,United States,Health Care,2000000,Pre-Seed,21-Apr
Seqster,United States,Health Care,12000000,Series A,21-Apr
Vizgen,United States,Health Care,37000000,Series B,21-Apr
Pendulum Therapeutics,United States,Health Care,54000000,Series C,21-Apr
Tesseract Health,United States,Health Care,80000000,Series B,21-Apr
Universal Hydrogen,United States,Health Care,20500000,Series A,21-Apr
Orchid,United States,Health Care,4500000,Seed,21-Apr
OpenLoop,United States,Health Care,3000000,Seed,21-Apr
Real,United States,Health Care,10000000,Series A,21-Apr
Inbox Health,United States,Health Care,15000000,Series A,21-Apr
Brave Care,United States,Health Care,10000000,Series A,21-Apr
Firefly Health,United States,Health Care,40000000,Series B,21-Apr
Molecular Assemblies,United States,Health Care,24000000,Series A,21-Apr
Next Insurance,United States,Insurance,250000000,Series E,21-Apr
The Zebra,United States,Insurance,150000000,Series D,21-Apr
Clearcover,United States,Insurance,200000000,Series D,21-Apr
Vericred,United States,Insurance,23000000,Series B,21-Apr
Percent,United States,Investing,12500000,Series A,21-Apr
StarStock,United States,Marketplace,8000000,Series A,21-Apr
Mercato,United States,Marketplace,26000000,Series A,21-Apr
Misfits Market,United States,Marketplace,200000000,Series C,21-Apr
Gear Focus,United States,Marketplace,400000,Seed,21-Apr
Rock The Bells,United States,Media,8000000,Series A,21-Apr
IRIS.TV,United States,Media,18000000,Series B,21-Apr
Fintor,United States,Real Estate,2500000,Seed,21-Apr
HqO,United States,Real Estate,60000000,Series C,21-Apr
Deel,United States,Recruiting,156000000,Series C,21-Apr
Patreon,United States,Social Network,155000000,Series F,21-Apr
Sendbird,United States,Social Network,100000000,Series C,21-Apr
illumy,United States,Social Network,2200000,Angel,21-Apr
Astranis,United States,Telecommunications,250000000,Series C,21-Apr
Tempo,United States,Wellness,220000000,Series C,21-Apr
Formlabs,United States,3D,150000000,Series E,21-May
Merlin Labs,United States,Aerospace,25000000,Series B,21-May
Inari,United States,Agriculture,208000000,Series D,21-May
ProducePay,United States,Agriculture,43000000,Series C,21-May
Vise,United States,Artificial Intelligence,65000000,Series C,21-May
Marketing AI Institute,United States,Artificial Intelligence,1000000,Seed,21-May
Fireflies.ai,United States,Artificial Intelligence,14000000,Series A,21-May
Dyno Therapeutics,United States,Artificial Intelligence,100000000,Series A,21-May
PathAI,United States,Artificial Intelligence,165000000,Series C,21-May
Reclaim.ai,United States,Artificial Intelligence,4800000,Seed,21-May
Mythic,United States,Artificial Intelligence,70000000,Series C,21-May
VIA,United States,Artificial Intelligence,10000000,Series A,21-May
Derq,United States,Artificial Intelligence,500000,Seed,21-May
Clinch,United States,Artificial Intelligence,10200000,Series A,21-May
ASAPP,United States,Artificial Intelligence,120000000,Series C,21-May
StarTree,United States,Artificial Intelligence,24000000,Series A,21-May
SuperOps.ai,United States,Artificial Intelligence,3000000,Seed,21-May
"Gregarious, Inc.",United States,Artificial Intelligence,5400000,Seed,21-May
Electra Vehicles,United States,Artificial Intelligence,4383769,Seed,21-May
Legion Technologies,United States,Artificial Intelligence,50000000,Series C,21-May
Virtuix,United States,Augmented Reality,19000000,Series A,21-May
Help Lightning,United States,Augmented Reality,2500000,Series A,21-May
Promo.com,United States,B2B Software,16000000,Series B,21-May
Loom,United States,B2B Software,130000000,Series C,21-May
Aurora Solar,United States,B2B Software,250000000,Series C,21-May
HoneyBook,United States,B2B Software,155000000,Series D,21-May
Skiff,United States,B2B Software,3700000,Seed,21-May
SpotOn,United States,B2B Software,125000000,Series D,21-May
Workboard,United States,B2B Software,75000000,Series D,21-May
Code Ocean,United States,B2B Software,15000000,Series A,21-May
Spot,United States,B2B Software,5000000,Seed,21-May
Choozle,United States,B2B Software,15000000,Series C,21-May
Nearby,United States,B2B Software,21000000,Series A,21-May
VAST Data,United States,B2B Software,83000000,Series D,21-May
Snapdocs,United States,B2B Software,150000000,Series D,21-May
Arcturus,United States,B2B Software,5000000,Seed,21-May
Florence Healthcare,United States,B2B Software,80000000,Series C,21-May
Collective,United States,B2B Software,20000000,Series A,21-May
Qualified.com,United States,B2B Software,51000000,Series B,21-May
Airkit,United States,B2B Software,40000000,Series B,21-May
Rewatch,United States,B2B Software,20000000,Series A,21-May
VividCharts,United States,B2B Software,2000000,Seed,21-May
Perch,United States,B2B Software,775000000,Series A,21-May
Prodoscore,United States,B2B Software,3000000,Series A,21-May
Snappy,United States,B2B Software,70000000,Series C,21-May
4me,United States,B2B Software,2300000,Seed,21-May
Uptrust,United States,B2B Software,2000000,Seed,21-May
Extend,United States,B2B Software,260000000,Series C,21-May
AVATOUR,United States,B2B Software,2900000,Seed,21-May
Coin Metrics,United States,Blockchain,15000000,Series B,21-May
Chia Network,United States,Blockchain,61000000,Series D,21-May
PolySign,United States,Blockchain,53000000,Series B,21-May
Burnt Finance,United States,Blockchain,3000000,Seed,21-May
Bitski,United States,Blockchain,19000000,Series A,21-May
Solidus Labs,United States,Blockchain,20000000,Series A,21-May
OneOf,United States,Blockchain,63000000,Seed,21-May
Talos Trading,United States,Blockchain,40000000,Series A,21-May
Datacy,United States,Blockchain,2400000,Seed,21-May
QuickNode,United States,Blockchain,5300000,Seed,21-May
CircleCI,United States,Cloud Computing,100000000,Series F,21-May
Prismic,United States,Cloud Computing,20000000,Series A,21-May
Airbyte,United States,Cloud Computing,26000000,Series A,21-May
Apptopia,United States,Cloud Computing,20000000,Series C,21-May
Rome,United States,Cloud Computing,4500000,Seed,21-May
Wasabi Technologies,United States,Cloud Computing,25000000,Series C,21-May
Edge Impulse,United States,Cloud Computing,15000000,Series A,21-May
Timescale,United States,Cloud Computing,40000000,Series B,21-May
Crayon,United States,Cloud Computing,22000000,Series B,21-May
RevenueCat,United States,Cloud Computing,40000000,Series B,21-May
Coiled,United States,Cloud Computing,21000000,Series A,21-May
MacroFab,United States,Cloud Computing,15000000,Series B,21-May
Esper,United States,Cloud Computing,30000000,Series B,21-May
Styra,United States,Cloud Computing,40000000,Series B,21-May
Immuta,United States,Cloud Computing,90000000,Series D,21-May
SightCall,United States,Cloud Computing,42000000,Series B,21-May
Zenlayer,United States,Cloud Computing,50000000,Series C,21-May
Datanomix,United States,Cloud Computing,6000000,Series A,21-May
Topia,United States,Cloud Computing,5000000,Seed,21-May
Qualio,United States,Cloud Computing,50000000,Series B,21-May
OtterTune,United States,Cloud Computing,2500000,Seed,21-May
Cyral,United States,Cloud Computing,26000000,Series B,21-May
LucidLink,United States,Cloud Computing,12000000,Series A,21-May
Cloud Campaign,United States,Cloud Computing,5000000,Series A,21-May
Optiyol,United States,Cloud Computing,810000,Seed,21-May
Molecule Software,United States,Cloud Computing,12000000,Series A,21-May
Assignar,United States,Cloud Computing,20000000,Series B,21-May
ndustrial.io,United States,Cloud Computing,6000000,Series A,21-May
JupiterOne,United States,Cloud Computing,30000000,Series B,21-May
Syncari,United States,Cloud Computing,17300000,Series A,21-May
Poparazzi,United States,Community,20000000,Series A,21-May
Orbit,United States,Community,15000000,Series A,21-May
Curio Digital,United States,Consumer,7000000,Seed,21-May
Huntress,United States,Cyber Security,40000000,Series B,21-May
Arkose Labs,United States,Cyber Security,70000000,Series C,21-May
Uptycs,United States,Cyber Security,50000000,Series C,21-May
Salt Security,United States,Cyber Security,70000000,Series C,21-May
Material Security,United States,Cyber Security,40000000,Series B,21-May
Vanta,United States,Cyber Security,50000000,Series A,21-May
Persona,United States,Cyber Security,50000000,Series B,21-May
VisibleRisk,United States,Cyber Security,25000000,Series A,21-May
ThreatLocker Inc,United States,Cyber Security,20000000,Series B,21-May
BluBracket,United States,Cyber Security,12000000,Series A,21-May
Airspace Link,United States,Drones,10000000,Series A,21-May
Roofr,United States,Drones,4250000,Seed,21-May
Klaviyo,United States,E-Commerce Software,320000000,Series D,21-May
Grin,United States,E-Commerce Software,16000000,Series A,21-May
Yalo,United States,E-Commerce Software,50000000,Series C,21-May
Carted,United States,E-Commerce Software,10000000,Seed,21-May
Infinite Objects,United States,E-Commerce Store,6000000,Seed,21-May
The Pro's Closet,United States,E-Commerce Store,40000000,Series B,21-May
UrbanStems,United States,E-Commerce Store,20000000,Series C,21-May
Tea Drops,United States,E-Commerce Store,5000000,Series A,21-May
MasterClass,United States,Education,225000000,Series F,21-May
Educative,United States,Education,12000000,Series A,21-May
Pathrise,United States,Education,9000000,Series A,21-May
EnergyX,United States,Energy,20000000,Series A,21-May
Solid Power,United States,Energy,130000000,Series B,21-May
24M Technologies,United States,Energy,56800000,Series E,21-May
Alice,United States,Finance,2000000,Seed,21-May
Stampli,United States,Finance,50000000,Series C,21-May
Sentieo,United States,Finance,20000000,Series B,21-May
Zeta,United States,Finance,250000000,Series C,21-May
ReCharge,United States,Finance,227000000,Series B,21-May
Zoe Financial,United States,Finance,10000000,Series A,21-May
LoanSnap,United States,Finance,30000000,Series B,21-May
Treasury Prime,United States,Finance,20000000,Series B,21-May
Figure,United States,Finance,7500000,Seed,21-May
Lithic,United States,Finance,43000000,Series B,21-May
Park Place Payments,United States,Finance,1500000,Seed,21-May
Amount.com,United States,Finance,99000000,Series D,21-May
Found,United States,Finance,12750000,Series A,21-May
Sunbit,United States,Finance,130000000,Series D,21-May
Axle,United States,Finance,10000000,Series A,21-May
Boost Payment Solutions,United States,Finance,22000000,Series C,21-May
Blair,United States,Finance,6300000,Seed,21-May
Noom,United States,Food and Beverage,540000000,Series F,21-May
Goldbelly,United States,Food and Beverage,100000000,Series C,21-May
SevenFifty,United States,Food and Beverage,23000000,Series B,21-May
Clear Labs,United States,Food and Beverage,60000000,Series C,21-May
Plant Power Fast Food,United States,Food and Beverage,7500000,Series A,21-May
Copper Cow Coffee,United States,Food and Beverage,8500000,Series A,21-May
Picnic,United States,Food and Beverage,13300000,Series A,21-May
Genies,United States,Gaming,65000000,Series B,21-May
Collectable,United States,Gaming,5500000,Series A,21-May
The Game Band,United States,Gaming,3000000,Seed,21-May
Metafy,United States,Gaming,5500000,Seed,21-May
Lightforge Games,United States,Gaming,5000000,Seed,21-May
Last Gameboard,United States,Gaming,4000000,Seed,21-May
ZOE,United States,Health Care,20000000,Series B,21-May
Collective Health,United States,Health Care,280000000,Series F,21-May
Vida Health,United States,Health Care,110000000,Series D,21-May
Akili Interactive Labs,United States,Health Care,110000000,Series D,21-May
Lyra Health,United States,Health Care,200000000,Series F,21-May
Hello Heart,United States,Health Care,45000000,Series C,21-May
Aetion,United States,Health Care,110000000,Series C,21-May
Ethos,United States,Insurance,200000000,Series D,21-May
Kin Insurance,United States,Insurance,63900000,Series C,21-May
Stockal,United States,Investing,3000000,Seed,21-May
Boost,United States,Investing,20000000,Series B,21-May
ARTA,United States,Logistics,4500000,Seed,21-May
Fleeting,United States,Logistics,500000,Seed,21-May
Upsie,United States,Marketplace,18200000,Series A,21-May
The Fascination,United States,Marketplace,1000000,Seed,21-May
Kaiyo,United States,Marketplace,5000000,Series A,21-May
Icon Source,United States,Marketplace,1600000,Seed,21-May
Getkart,United States,Marketplace,3000000,Seed,21-May
Recurate,United States,Marketplace,3250000,Seed,21-May
Genapsys,United States,Materials,70000000,Series D,21-May
Recount Media,United States,Media,18000000,Series B,21-May
Pawp,United States,Pets,13000000,Series A,21-May
Pearl Certification,United States,Real Estate,9500000,Series B,21-May
Super,United States,Real Estate,50000000,Series C,21-May
Blind,United States,Recruiting,37000000,Series C,21-May
Handshake,United States,Recruiting,80000000,Series E,21-May
Workrise,United States,Recruiting,300000000,Series E,21-May
SkillBank,United States,Recruiting,1175000,Seed,21-May
Ontop,United States,Recruiting,4500000,Seed,21-May
Canvas,United States,Recruiting,20000000,Series B,21-May
Path Robotics,United States,Robotics,56000000,Series B,21-May
Somewhere Good,United States,Social Network,3750000,Seed,21-May
FarEye,United States,Transportation,100000000,Series E,21-May
Beep,United States,Transportation,20000000,Series A,21-May
Swimply,United States,Travel,10000000,Series A,21-May
Relativity Space,United States,Aerospace,650000000,Series E,21-Jun
LeoLabs,United States,Aerospace,65000000,Series B,21-Jun
Zipline,United States,Aerospace,250000000,Series E,21-Jun
Sentera,United States,Agriculture,25000000,Series C,21-Jun
Beeflow,United States,Agriculture,8300000,Series A,21-Jun
Mycroft,United States,Artificial Intelligence,119999,Seed,21-Jun
Moveworks,United States,Artificial Intelligence,200000000,Series C,21-Jun
Primer,United States,Artificial Intelligence,110000000,Series C,21-Jun
Iterative.ai,United States,Artificial Intelligence,20000000,Series A,21-Jun
Eightfold,United States,Artificial Intelligence,220000000,Series E,21-Jun
Fiddler,United States,Artificial Intelligence,32000000,Series B,21-Jun
Strateos,United States,Artificial Intelligence,56100000,Series B,21-Jun
UserLeap,United States,Artificial Intelligence,38000000,Series B,21-Jun
Verbit,United States,Artificial Intelligence,157000000,Series D,21-Jun
Dispo,United States,Augmented Reality,20000000,Series A,21-Jun
Figma,United States,B2B Software,200000000,Series E,21-Jun
Vercel,United States,B2B Software,102000000,Series C,21-Jun
G2.com,United States,B2B Software,157000000,Series D,21-Jun
SmartAsset,United States,B2B Software,110000000,Series D,21-Jun
Amplitude,United States,B2B Software,150000000,Series F,21-Jun
Hello Alice,United States,B2B Software,21000000,Series B,21-Jun
Qwoted,United States,B2B Software,3000000,Seed,21-Jun
DealHub.io,United States,B2B Software,20000000,Series B,21-Jun
Iterable,United States,B2B Software,200000000,Series E,21-Jun
ServiceTitan,United States,B2B Software,200000000,Series G,21-Jun
Canopy,United States,B2B Software,11000000,Series C,21-Jun
Contentstack,United States,B2B Software,57500000,Series B,21-Jun
Tonkean,United States,B2B Software,50000000,Series B,21-Jun
Obsess,United States,B2B Software,10000000,Series A,21-Jun
Dexlab,United States,Blockchain,1440000,Seed,21-Jun
dYdX,United States,Blockchain,65000000,Series C,21-Jun
Instadapp,United States,Blockchain,10000000,Series A,21-Jun
Unchained Capital,United States,Blockchain,25000000,Series A,21-Jun
Bitwise,United States,Blockchain,70000000,Series B,21-Jun
Chainalysis,United States,Blockchain,100000000,Series E,21-Jun
Syndicate,United States,Blockchain,800000,Seed,21-Jun
Luxor Technologies,United States,Blockchain,5000000,Series A,21-Jun
Blockdaemon,United States,Blockchain,28000000,Series A,21-Jun
Foundation Devices,United States,Blockchain,2000000,Seed,21-Jun
SynFutures,United States,Blockchain,14000000,Series A,21-Jun
SmartDeFi,United States,Blockchain,1000000,Pre-Seed,21-Jun
Unbound Finance,United States,Blockchain,5800000,Seed,21-Jun
Umee,United States,Blockchain,6300000,Seed,21-Jun
Morning Consult,United States,Cloud Computing,60000000,Series B,21-Jun
Neo4j,United States,Cloud Computing,325000000,Series F,21-Jun
Versa Networks,United States,Cloud Computing,84000000,Series D,21-Jun
Sanity,United States,Cloud Computing,39000000,Series B,21-Jun
Outreach,United States,Cloud Computing,200000000,Series G,21-Jun
Hummingbot,United States,Cloud Computing,8000000,Series A,21-Jun
Gong,United States,Cloud Computing,250000000,Series E,21-Jun
Nylas,United States,Cloud Computing,120000000,Series C,21-Jun
Prefect,United States,Cloud Computing,32000000,Series B,21-Jun
dbt Labs,United States,Cloud Computing,150000000,Series C,21-Jun
Illumio,United States,Cloud Computing,225000000,Series F,21-Jun
Alation,United States,Cloud Computing,110000000,Series D,21-Jun
Addepar,United States,Cloud Computing,150000000,Series F,21-Jun
Whatfix,United States,Cloud Computing,90000000,Series D,21-Jun
Robin.io,United States,Cloud Computing,38000000,Series C,21-Jun
Brella,United States,Cloud Computing,10000000,Series A,21-Jun
LambdaTest,United States,Cloud Computing,16000000,Series B,21-Jun
PostHog,United States,Cloud Computing,15000000,Series B,21-Jun
Deserve,United States,Cloud Computing,50000000,Series D,21-Jun
Incorta,United States,Cloud Computing,120000000,Series D,21-Jun
Imply,United States,Cloud Computing,70000000,Series C,21-Jun
Zenoti,United States,Cloud Computing,80000000,Series D,21-Jun
Aunt Bertha,United States,Community,27000000,Series D,21-Jun
Loupe,United States,Community,12000000,Series A,21-Jun
UpGuard,United States,Cyber Security,19000000,Series B,21-Jun
Exabeam,United States,Cyber Security,200000000,Series F,21-Jun
Claroty,United States,Cyber Security,140000000,Series D,21-Jun
Anduril Industries,United States,Drones,450000000,Series D,21-Jun
Synder,United States,E-Commerce Software,2000000,Seed,21-Jun
Pallet,United States,E-Commerce Software,3000000,Seed,21-Jun
Shogun,United States,E-Commerce Software,67500000,Series C,21-Jun
Goat Group,United States,E-Commerce Store,195000000,Series F,21-Jun
House Of Wise,United States,E-Commerce Store,2000000,Seed,21-Jun
DefineMe,United States,E-Commerce Store,400000,Seed,21-Jun
maude,United States,E-Commerce Store,5800000,Series A,21-Jun
The Citizenry,United States,E-Commerce Store,20000000,Series B,21-Jun
Synthesis School,United States,Education,5000000,Series A,21-Jun
Guild Education,United States,Education,150000000,Series E,21-Jun
Nexford University,United States,Education,10800000,Seed,21-Jun
Age of Learning,United States,Education,300000000,Series C,21-Jun
Codelicious,United States,Education,2215000,Seed,21-Jun
EcoFlow Tech,United States,Energy,100000000,Series B,21-Jun
Impossible Finance,United States,Finance,7000000,Seed,21-Jun
Credit Sesame,United States,Finance,51000000,Series G,21-Jun
Truebill,United States,Finance,45000000,Series D,21-Jun
Now Account Network,United States,Finance,9500000,Series A,21-Jun
Novo,United States,Finance,40700000,Series A,21-Jun
Unit,United States,Finance,51000000,Series B,21-Jun
Bank Labs,United States,Finance,3126213,Seed,21-Jun
Underground Cellar,United States,Food and Beverage,12500000,Series A,21-Jun
Hungryroot,United States,Food and Beverage,40000000,Series C,21-Jun
SIMULATE,United States,Food and Beverage,50000000,Series B,21-Jun
Shef,United States,Food and Beverage,20000000,Series A,21-Jun
Motif,United States,Food and Beverage,226000000,Series B,21-Jun
GiftAMeal,United States,Food and Beverage,484000,Seed,21-Jun
Snackpass,United States,Food and Beverage,70000000,Series B,21-Jun
VRChat,United States,Gaming,80000000,Series D,21-Jun
JW Player,United States,Gaming,100000000,Series E,21-Jun
Mythical Games,United States,Gaming,75000000,Series B,21-Jun
Z League,United States,Gaming,13478135,Series A,21-Jun
TOCA Football,United States,Gaming,40000000,Series E,21-Jun
Helix,United States,Health Care,50000000,Series C,21-Jun
Enhatch,United States,Health Care,9000000,Series A,21-Jun
LetsGetChecked,United States,Health Care,150000000,Series D,21-Jun
The Pill Club,United States,Health Care,41900000,Series B,21-Jun
Rise Science,United States,Health Care,10000000,Series A,21-Jun
TRIPP,United States,Health Care,11000000,Series A,21-Jun
NexHealth,United States,Health Care,31000000,Series B,21-Jun
Embroker,United States,Insurance,100000000,Series C,21-Jun
Securitize,United States,Investing,48000000,Series B,21-Jun
Atom Finance,United States,Investing,28000000,Series B,21-Jun
Yieldstreet,United States,Investing,100000000,Series C,21-Jun
project44,United States,Logistics,202000000,Series E,21-Jun
Shippo,United States,Logistics,50000000,Series E,21-Jun
KeepTruckin,United States,Logistics,190000000,Series E,21-Jun
MachineMetrics,United States,Manufacturing,20000000,Series B,21-Jun
Rarible,United States,Marketplace,14200000,Series A,21-Jun
Gloat,United States,Marketplace,57000000,Series C,21-Jun
Songtradr,United States,Marketplace,50000000,Series D,21-Jun
Faire,United States,Marketplace,260000000,Series F,21-Jun
Phase Four,United States,Materials,26000000,Series B,21-Jun
Happs,United States,Media,4700000,Series A,21-Jun
Buzzer,United States,Media,20000000,Series A,21-Jun
Mandolin,United States,Media,12000000,Series A,21-Jun
Flyhomes,United States,Real Estate,150000000,Series C,21-Jun
DataRobot,United States,Robotics,250000000,Series G,21-Jun
Soft Robotics,United States,Robotics,10000000,Series B,21-Jun
Realtime Robotics,United States,Robotics,31400000,Series A,21-Jun
7SIGNAL,United States,Telecommunications,5000000,Series D,21-Jun
Dtravel,United States,Travel,5000000,Seed,21-Jun
Outdoorsy,United States,Travel,90000000,Series D,21-Jun
Factal,United States,Wellness,3300000,Series A,21-Jun
Terraformation,United States,Wellness,30000000,Series A,21-Jun
Relativity Space,United States,Aerospace,650000000,Series E,21-Jul
Accion Systems,United States,Aerospace,42000000,Series C,21-Jul
Pivot Bio,United States,Agriculture,430000000,Series D,21-Jul
Covariant,United States,Artificial Intelligence,80000000,Series C,21-Jul
Voiceflow,United States,Artificial Intelligence,20000000,Series A,21-Jul
10Web.io,United States,Artificial Intelligence,2000000,Seed,21-Jul
Talview,United States,Artificial Intelligence,15000000,Series B,21-Jul
Entos,United States,Artificial Intelligence,53000000,Series A,21-Jul
DNSFilter,United States,Artificial Intelligence,30000000,Series A,21-Jul
ClimateAI,United States,Artificial Intelligence,12000000,Series A,21-Jul
Numerade,United States,Artificial Intelligence,26000000,Series A,21-Jul
Interos,United States,Artificial Intelligence,100000000,Series C,21-Jul
Zone7,United States,Artificial Intelligence,8000000,Series A,21-Jul
DRESSX,United States,Augmented Reality,2000000,Seed,21-Jul
Tailor Brands,United States,B2B Software,50000000,Series C,21-Jul
Bubble,United States,B2B Software,100000000,Series A,21-Jul
